text,label,label_id,source,sst_score
A thriller without thrills and a mystery devoid of urgent questions .,negative,0,sst,0.33333
Serving Sara should be served an eviction notice at every theater stuck with it .,negative,0,sst,0.34722
"It is a likable story , told with competence .",positive,2,sst,0.72222
"A spellbinding African film about the modern condition of rootlessness , a state experienced by millions around the globe .",positive,2,sst,0.86111
"Though not for everyone , The Guys is a somber trip worth taking .",neutral,1,sst,0.52778
Those of you who do n't believe in Santa Claus probably also think that sequels can never capture the magic of the original .,neutral,1,sst,0.5
"... the film 's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '",negative,0,sst,0.16667
Paul Bettany playing Malcolm McDowell ?,neutral,1,sst,0.5
A quietly reflective and melancholy New Zealand film about an eventful summer in a 13-year-old girl 's life .,positive,2,sst,0.79167
Ranks among Willams ' best screen work .,positive,2,sst,0.93056
Enticing and often funny documentary .,positive,2,sst,0.80556
It all comes down to whether you can tolerate Leon Barlow .,negative,0,sst,0.31944
"Harsh , effective documentary on life in the Israeli-occupied Palestinian territories .",positive,2,sst,0.70833
"It 's an odd show , pregnant with moods , stillborn except as a harsh conceptual exercise .",negative,0,sst,0.36111
Manages to be sweet and wickedly satisfying at the same time .,positive,2,sst,0.93056
The Master Of Disaster - it 's a piece of dreck disguised as comedy .,negative,0,sst,0.097222
Woody Allen used to ridicule movies like Hollywood Ending .,negative,0,sst,0.38889
"Such a wildly uneven hit-and-miss enterprise , you ca n't help suspecting that it was improvised on a day-to-day basis during production .",negative,0,sst,0.25
"Do n't plan on the perfect ending , but Sweet Home Alabama hits the mark with critics who escaped from a small town life .",positive,2,sst,0.65278
"When all is said and done , she loves them to pieces -- and so , I trust , will you .",positive,2,sst,0.77778
An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .,positive,2,sst,0.69444
"The Chateau belongs to Rudd , whose portrait of a therapy-dependent flakeball spouting French malapropisms ... is a nonstop hoot .",positive,2,sst,0.76389
-LRB- Grant -RRB- goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .,positive,2,sst,0.76389
"It 's hard to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as The Grey Zone , but it 's equally hard to imagine anybody being able to tear their eyes away from the screen once it 's started .",positive,2,sst,0.68056
It 's secondary to American Psycho but still has claws enough to get inside you and stay there for a couple of hours .,positive,2,sst,0.76389
"A film made with as little wit , interest , and professionalism as artistically possible for a slummy Hollywood caper flick .",negative,0,sst,0.38889
"Eight Legged Freaks is clever and funny , is amused by its special effects , and leaves you feeling like you 've seen a movie instead of an endless trailer .",positive,2,sst,0.79167
"The acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .",positive,2,sst,0.90278
A heartening tale of small victories and enduring hope .,positive,2,sst,0.79167
"The documentary is much too conventional -- lots of boring talking heads , etc. -- to do the subject matter justice .",negative,0,sst,0.16667
Manages to be both repulsively sadistic and mundane .,negative,0,sst,0.13889
Succeeds where its recent predecessor miserably fails because it demands that you suffer the dreadfulness of war from both sides .,positive,2,sst,0.76389
"Ray Liotta and Jason Patric do some of their best work in their underwritten roles , but do n't be fooled : Nobody deserves any prizes here .",negative,0,sst,0.25
Frenetic but not really funny .,negative,0,sst,0.29167
"Sweet gentle Jesus , did the screenwriters just do a cut-and-paste of every bad action-movie line in history ?",negative,0,sst,0.30556
-LRB- Reaches -RRB- wholly believable and heart-wrenching depths of despair .,positive,2,sst,0.70833
"The real star of this movie is the score , as in the songs translate well to film , and it 's really well directed .",positive,2,sst,0.75
"O Fantasma is boldly , confidently orchestrated , aesthetically and sexually , and its impact is deeply and rightly disturbing .",positive,2,sst,0.63889
But he loses his focus when he concentrates on any single person .,negative,0,sst,0.22222
The Cat 's Meow marks a return to form for director Peter Bogdanovich ...,positive,2,sst,0.61111
"Makes the case for a strong education and good teachers being more valuable in the way they help increase an average student 's self-esteem , and not strictly in the knowledge imparted .",positive,2,sst,0.72222
"... pitiful , slapdash disaster .",negative,0,sst,0.055556
"Comedian , like its subjects , delivers the goods and audiences will have a fun , no-frills ride .",positive,2,sst,0.79167
Rare Birds has more than enough charm to make it memorable .,positive,2,sst,0.75
"If anything , see it for Karen Black , who camps up a storm as a fringe feminist conspiracy theorist named Dirty Dick .",positive,2,sst,0.63889
